"","bottlesNames[2:21, ]","html_text(bottleDescription)","html_text(bottlePrice)","html_text(bottleLocation)"
"4234","FS:   7 Leguas Tequila Blanco (750ml)","Please click ""Visit URL"" for details...","                
$ 39.99            ","Brooklyn"
"4235","FS:   1800 Tequila Anejo (750ml)","Please click ""Visit URL"" for details...","                
$ 37.99            ","Brooklyn"
"4236","FS:   1800 Tequila Reposado (750ml)","Please click ""Visit URL"" for details...","                
$ 25.99            ","Brooklyn"
"4237","FS:   123 ""Diablito"" Organic Tequila Extra Anejo (750ml)","Please click ""Visit URL"" for details...","                
$ 129.99            ","Brooklyn"
"4238","FS:   123 ""Tres"" Organic Tequila Anejo (750ml)","Please click ""Visit URL"" for details...","                
$ 64.99            ","Brooklyn"
"4239","FS:   123 ""Dos"" Organic Tequila Reposado (750ml)","Please click ""Visit URL"" for details...","                
$ 55.99            ","Brooklyn"
"4240","FS:   123 ""Uno"" Organic Tequila Blanco (750ml)","Please click ""Visit URL"" for details...","                
$ 45.99            ","Brooklyn"
"4241","FS:   Starr Ultra Superior Light African Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 29.99            ","Brooklyn"
"4242","FS:   St. Lucia Distillers ""Chairman's Reserve"" Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 19.99            ","Brooklyn"
"4243","FS:   St. Lucia Distillers ""Chairman's Reserve"" Silver Rum (1L)","Please click ""Visit URL"" for details...","                
$ 19.99            ","Brooklyn"
"4244","FS:   St. Lucia Distillers ""Chairman's Reserve"" Blended Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 19.99            ","Brooklyn"
"4245","FS:   St. Lucia Distillers 2008 ""Ministry of Rum Collection"" 5 Year Old Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 37.99            ","Brooklyn"
"4246","FS:   St. Lucia Distillers 2004 ""Ministry of Rum Collection"" 9 Year Old Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 47.99            ","Brooklyn"
"4247","FS:   Samaroli Demerara Dark Rum 1995 (750ml)","Please click ""Visit URL"" for details...","                
$ 129.99            ","Brooklyn"
"4248","FS:   Samaroli Demerara Dark Rum 1988 (750ml)","Please click ""Visit URL"" for details...","                
$ 177.99            ","Brooklyn"
"4249","FS:   Samaroli Caribbean Rum 2003 (750ml)","Please click ""Visit URL"" for details...","                
$ 89.99            ","Brooklyn"
"4250","FS:   The Original Sailor Jerry Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 24.99            ","Brooklyn"
"4251","FS:   Ron Zacapa XO Solera Grand Reserve (750ml)","Please click ""Visit URL"" for details...","                
$ 106.99            ","Brooklyn"
"4252","FS:   Ron Zacapa Centenario Solera Grand Reserve (750ml)","Please click ""Visit URL"" for details...","                
$ 45.99            ","Brooklyn"
"4253","FS:   Ron de Jeremy Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 29.99            ","Brooklyn"
"4254","FS:   Ron Barcelo ""30 Aniversario"" Imperial Premium Blended Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 112.99            ","Brooklyn"
"4255","FS:   Ron Barcelo Imperial Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 28.99            ","Brooklyn"
"4256","FS:   Ron Barcelo Gran Anejo Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 19.99            ","Brooklyn"
"4257","FS:   Dictador 12 Year Old Columbian Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 39.99            ","Brooklyn"
"4258","FS:   Depaz Amber Blue Cane Rhum Agricole (750ml)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4259","FS:   Denizen Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 16.99            ","Brooklyn"
"4260","FS:   Denizen ""Merchant's Reserve"" 8 Year Old Blended Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 29.99            ","Brooklyn"
"4261","FS:   Demerara Distillers ""El Dorado"" 15 Year Old Special Reserve Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 35.99            ","Brooklyn"
"4262","FS:   Demerara Distillers ""El Dorado"" 12 Year Old Guyana Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 25.99            ","Brooklyn"
"4263","FS:   Plantation Jamaica Old Reserve 2000 Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 35.99            ","Brooklyn"
"4264","FS:   Plantation Guadeloupe 1998 Old Reserve Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 61.99            ","Brooklyn"
"4265","FS:   Plantation 5 Year Old Grande Reserve Barbados Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 18.99            ","Brooklyn"
"4266","FS:   Plantation ""3 Stars"" Silver Rum (1L)","Please click ""Visit URL"" for details...","                
$ 17.99            ","Brooklyn"
"4267","FS:   Pitu Cachaca (1L)","Please click ""Visit URL"" for details...","                
$ 12.99            ","Brooklyn"
"4268","FS:   Papagayo Organic Silver Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 28.99            ","Brooklyn"
"4269","FS:   Pampero ""Aniversario"" Reserva Exclusiva Anejo Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 29.99            ","Brooklyn"
"4270","FS:   Old New Orleans 10 Year Old Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 84.99            ","Brooklyn"
"4271","FS:   Old New Orleans Cajun Spice Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4272","FS:   Old New Orleans Amber 3 Year Old Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4273","FS:   Old New Orleans Crystal Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 25.99            ","Brooklyn"
"4274","FS:   Old Monk ""Gold Reserve"" 12 Year Old Blended Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 17.99            ","Brooklyn"
"4275","FS:   Old Monk 7 Year Old Blended Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 15.99            ","Brooklyn"
"4276","FS:   Novo Fogo Organic Gold Cachaca (750ml)","Please click ""Visit URL"" for details...","                
$ 36.99            ","Brooklyn"
"4277","FS:   Newfoundland ""Screech"" Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 18.99            ","Brooklyn"
"4278","FS:   Neisson 18 Year Old Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 604.99            ","Brooklyn"
"4279","FS:   Neisson 15 Year Old Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 474.99            ","Brooklyn"
"4280","FS:   Neisson L'Esprit Blanc Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 71.99            ","Brooklyn"
"4281","FS:   Neisson ""Reserve Speciale"" Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 72.99            ","Brooklyn"
"4282","FS:   Neisson ""Eleve Sous Bois"" Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 48.99            ","Brooklyn"
"4283","FS:   Neisson Blanc Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 36.99            ","Brooklyn"
"4284","FS:   Mount Gay 1703 Old Cask Selection Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 119.99            ","Brooklyn"
"4285","FS:   Mount Gay Eclipse Black Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 24.99            ","Brooklyn"
"4286","FS:   Medine Distillery ""Penny Blue"" XO Single Estate Non-Chillfiltered Mauritian Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 74.99            ","Brooklyn"
"4287","FS:   Matusalem Gran Reserva Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 35.99            ","Brooklyn"
"4288","FS:   Lost Spirits Distillery Navy Style Cask Strength Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 44.99            ","Brooklyn"
"4289","FS:   Leblon Cachaca Reserva Original (375ml)","Please click ""Visit URL"" for details...","                
$ 21.99            ","Brooklyn"
"4290","FS:   Leblon Cachaca (750ml)","Please click ""Visit URL"" for details...","                
$ 23.99            ","Brooklyn"
"4291","FS:   La Favorite ""Coeur de Canne"" Blanc Rhum Agricole (1L)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4292","FS:   Gosling's ""Black Seal"" Black Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 22.99            ","Brooklyn"
"4293","FS:   Flor de Cana ""Centenario"" 12 Year Old Nicaragua Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 34.99            ","Brooklyn"
"4294","FS:   Flor de Cana Grand Reserve 7 Year Old Nicaragua Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 24.99            ","Brooklyn"
"4295","FS:   Fazenda Mae de Ouro Cachaca (1L)","Please click ""Visit URL"" for details...","                
$ 25.99            ","Brooklyn"
"4296","FS:   Envy Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 27.99            ","Brooklyn"
"4297","FS:   English Harbour 5 Year Old Antigua Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 26.99            ","Brooklyn"
"4298","FS:   English Harbour 25 Year Old Antigua Rum Vintage 1981 (750ml)","Please click ""Visit URL"" for details...","                
$ 399.99            ","Brooklyn"
"4299","FS:   Diplomatico Single Vintage 2000 Sherry Cask Finished Venezuelan Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 97.99            ","Brooklyn"
"4300","FS:   Diplomatico ""Ambassador Selection"" Cask Strength Venezuelan Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 279.99            ","Brooklyn"
"4301","FS:   Diplomatico Reserva Exclusiva Venezuelan Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 36.99            ","Brooklyn"
"4302","FS:   Diplomatico Reserva Venezuelan Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 24.99            ","Brooklyn"
"4303","FS:   Diplomatico Anejo Venezuelan Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 18.99            ","Brooklyn"
"4304","FS:   Dictador XO ""Perpetual"" Columbian Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 96.99            ","Brooklyn"
"4305","FS:   Dictador XO ""Insolent"" Columbian Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 96.99            ","Brooklyn"
"4306","FS:   Dictador 20 Year Old Columbian Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 58.99            ","Brooklyn"
"4307","FS:   Demerara Distillers ""El Dorado"" 8 Year Old Guyana Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 17.99            ","Brooklyn"
"4308","FS:   Demerara Distillers ""El Dorado"" Cask Aged 3 Year Old White Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 13.99            ","Brooklyn"
"4309","FS:   Damoiseau VSOP Rhum Agricole (750ml)","Please click ""Visit URL"" for details...","                
$ 41.99            ","Brooklyn"
"4310","FS:   Cruzan Single Barrel Estate Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 30.99            ","Brooklyn"
"4311","FS:   Cruzan Black Strap Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 19.99            ","Brooklyn"
"4312","FS:   Modern Spirits ""Crusoe"" Organic Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4313","FS:   Corsair Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 31.99            ","Brooklyn"
"4314","FS:   Cockspur ""VSOR 12"" Barbados Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 27.99            ","Brooklyn"
"4315","FS:   Cockspur Barbados Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 16.99            ","Brooklyn"
"4316","FS:   Cacao Prieto ""Don Rafael"" Cacao Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 49.99            ","Brooklyn"
"4317","FS:   Brinley Gold ""Shipwreck"" Spiced Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 20.99            ","Brooklyn"
"4318","FS:   Brinley Gold ""Shipwreck"" Mango Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 20.99            ","Brooklyn"
"4319","FS:   Brinley Gold ""Shipwreck"" Coffee Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 20.99            ","Brooklyn"
"4320","FS:   Brinley Gold ""Shipwreck"" Coconut Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 20.99            ","Brooklyn"
"4321","FS:   Blackwell Fine Jamaican Rum (750ml)","Please click ""Visit URL"" for details...","                
$ 23.99            ","Brooklyn"
"4322","FS:   Batavia-Arrack van Oosten (750ml)","Please click ""Visit URL"" for details...","                
$ 29.99            ","Brooklyn"
